span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
954,clarity::user::private,qjb4e2bd,94.25,0.01,1,1,0.0,1,0.0
291,clarity::user::public,claim-pending-rewards-iter,80.58,0.0,8,4,0.0,4,0.0
293,clarity::user::read-only,get-pending-rewards,56.24,0.0,13,9,0.1,9,0.1
298,clarity::user::public,add-holder,19.6,0.0,12,9,0.1,9,0.1
299,clarity::user::read-only,get-holders-address-to-index,14.92,0.0,12,9,0.1,9,0.1
328,clarity::user::read-only,get-supported-asset,5.55,0.0,19,19,0.2,19,0.2
467,clarity::user::read-only,multiply,0.17,0.0,23,23,0.3,23,0.2
482,clarity::user::private,zce0ac36,37.98,0.0,1,1,0.0,1,0.0
635,clarity::user::read-only,get-y-from-x,5.56,0.0,12,11,0.1,12,0.1
639,clarity::user::read-only,get-user-program-index,12.35,0.0,12,11,0.1,12,0.1
698,clarity::user::private,aq7e2238,70.4,0.0,1,1,0.0,1,0.0
703,clarity::user::private,vvbdf2c7,27.25,0.0,1,1,0.0,1,0.0
725,clarity::user::private,handle-loss-exceeds,8.73,0.0,1,1,0.0,1,0.0
738,clarity::user::read-only,get-activation-block-or-default,2.04,0.0,9,1,0.0,1,0.0
742,clarity::user::read-only,get-staker-at-cycle,20.92,0.0,5,1,0.0,1,0.0
753,clarity::user::private,claim-staking-reward-at-cycle,5.44,0.0,1,1,0.0,1,0.0
836,clarity::user::private,check-collateral-price-exists,1.88,0.0,1,1,0.0,1,0.0
839,clarity::user::private,is-valid,1.06,0.0,2,1,0.0,1,0.0
841,clarity::user::private,abs,0.01,0.0,2,1,0.0,1,0.0
849,clarity::user::private,is-stx-ststx-path-reversed,0.29,0.0,1,1,0.0,1,0.0
868,clarity::user::private,dw08b256,43.81,0.0,1,1,0.0,1,0.0
870,clarity::user::private,kbd9d3c2,20.26,0.0,1,1,0.0,1,0.0
871,clarity::user::private,tlfdb01c,42.94,0.0,1,1,0.0,1,0.0
897,clarity::user::private,sn70767c,15.22,0.0,1,1,0.0,1,0.0
911,clarity::user::private,uc06b87b,117.58,0.0,1,1,0.0,1,0.0
914,clarity::user::private,add-liquidity-calc,1.34,0.0,1,1,0.0,1,0.0
918,clarity::user::read-only,get-total-staked,7.21,0.0,7,2,0.0,2,0.0
921,clarity::user::read-only,get-revenue-at,9.93,0.0,9,6,0.1,6,0.1
936,clarity::user::private,stableswap-swap-a,93.7,0.0,1,1,0.0,1,0.0
938,clarity::user::private,swap-token-to-stx,22.59,0.0,2,2,0.0,2,0.0
940,clarity::user::private,swap-sbtc-to-token,5.64,0.0,2,2,0.0,2,0.0
945,clarity::user::private,nbec4248,15.66,0.0,1,1,0.0,1,0.0
947,clarity::user::private,kt147273,16.29,0.0,1,1,0.0,1,0.0
948,clarity::user::private,lua3df9a,27.13,0.0,1,1,0.0,1,0.0
949,clarity::user::private,wq9a7e09,18.57,0.0,1,1,0.0,1,0.0
950,clarity::user::private,dk8d9297,15.18,0.0,1,1,0.0,1,0.0
957,clarity::user::private,assert-principal,0.01,0.0,1,1,0.0,1,0.0
2,stacks_bench::replay,"Segment: Setup",0.0,0.0,9000,9000,100.0,0,0.0
292,clarity::user::public,claim-pending-rewards,80.47,0.0,8,4,0.0,4,0.0
535,clarity::user::read-only,get-item-subscriber,7.43,0.0,9,2,0.0,2,0.0
541,clarity::user::read-only,get-supply,1.65,0.0,4,4,0.0,4,0.0
594,clarity::user::private,is-owner-or-keeper,1.54,0.0,1,1,0.0,1,0.0
603,clarity::user::private,wj7c5251,67.69,0.0,1,1,0.0,1,0.0
609,clarity::user::read-only,get-burn-header,0.7,0.0,5,5,0.1,5,0.0
617,clarity::user::read-only,get-soft-blacklist-active,3.49,0.0,6,6,0.1,6,0.1
624,clarity::user::read-only,preview-deposit,4.25,0.0,4,4,0.0,4,0.0
625,clarity::user::read-only,convert-to-shares,4.23,0.0,4,4,0.0,4,0.0
636,clarity::user::read-only,div-precision-with-factor,0.39,0.0,12,11,0.1,12,0.1
669,clarity::user::read-only,get-assets,11.86,0.0,12,12,0.1,12,0.1
679,clarity::user::read-only,is-in-e-mode,9.99,0.0,4,4,0.0,4,0.0
681,clarity::user::read-only,is-liquidator,5.71,0.0,11,11,0.1,11,0.1
690,clarity::user::read-only,get-health-factor-liquidation-threshold,16.25,0.0,17,11,0.1,11,0.1
