span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
367,clarity::user::private,check-proof,97.55,0.62,151,54,0.4,54,0.2
397,clarity::user::public,sr,62297.83,0.62,1347,308,2.1,402,1.3
857,clarity::user::private,fold-user-data-per-cycle,406.61,0.61,210,6,0.0,6,0.0
169,clarity::user::private,update-primary-name-recipient,166.08,0.61,243,238,1.6,243,0.8
296,clarity::vm::database::clarity_db::ClarityDatabase,delete_entry,15.07,0.6,174,153,1.0,160,0.5
855,clarity::user::private,filter-out-values-contained-in-helper-list,4.81,0.6,220,7,0.0,7,0.0
159,clarity::user::private,max,1.64,0.6,265,258,1.7,263,0.9
1273,clarity::user::private,ceil-div,0.82,0.59,104,52,0.3,52,0.2
148,clarity::user::private,has-vowels-chars,41.59,0.58,258,251,1.7,256,0.8
184,clarity::user::private,check-pool,213.22,0.57,191,127,0.8,145,0.5
333,clarity::user::private,expect-active-storage-contract,173.02,0.56,79,56,0.4,56,0.2
1154,clarity::user::private,safe-sub,2.19,0.56,192,48,0.3,48,0.2
225,clarity::user::private,check-is-oracle-updater,130.49,0.56,152,152,1.0,152,0.5
161,clarity::user::private,has-invalid-chars,108.61,0.55,254,249,1.7,254,0.8
682,clarity::user::private,aggregate-user-data,737.62,0.54,133,14,0.1,14,0.0
256,clarity::user::read-only,get-decimals,409.39,0.53,1665,129,0.9,159,0.5
295,clarity::builtin,map-delete,15.82,0.52,174,153,1.0,160,0.5
1267,clarity::user::private,cost-unbiased,46.76,0.51,208,52,0.3,52,0.2
188,clarity::user::read-only,do-get-pool,119.63,0.5,1543,293,2.0,359,1.2
1025,clarity::user::private,accrue-debt-asset,633.18,0.49,53,41,0.3,41,0.1
1272,clarity::user::private,ceil-bps,1.5,0.49,104,52,0.3,52,0.2
373,clarity::user::private,cast-decoded-price,4.1,0.48,151,54,0.4,54,0.2
1260,clarity::user::private,ensure-open,203.44,0.48,53,53,0.4,53,0.2
1388,clarity::user::private,is-authorized-vault,73.06,0.47,114,57,0.4,57,0.2
407,clarity::user::read-only,get-reserve-state,1707.44,0.47,1350,66,0.4,70,0.2
153,clarity::user::private,has-nonalpha-chars,108.56,0.47,258,251,1.7,256,0.8
443,clarity::user::private,only-ok-entry,0.73,0.47,151,54,0.4,54,0.2
515,clarity::vm::analysis::analysis_db::AnalysisDatabase,get_public_function_type,8.93,0.46,112,11,0.1,13,0.0
252,clarity::user::read-only,is-dao-or-extension,756.26,0.45,1426,125,0.8,151,0.5
368,clarity::user::private,hash-leaf,2.23,0.45,151,54,0.4,54,0.2
1268,clarity::user::private,ln-sum-exp,38.81,0.45,208,52,0.3,52,0.2
451,clarity::user::read-only,lookup,603.29,0.43,1240,135,0.9,137,0.4
254,clarity::user::read-only,fixed-to-decimals,285.2,0.43,967,120,0.8,146,0.5
359,clarity::user::private,read-and-verify-update,1569.16,0.43,213,54,0.4,54,0.2
1004,clarity::user::private,status,166.24,0.43,182,79,0.5,81,0.3
1200,clarity::user::private,mul,239.01,0.43,889,72,0.5,76,0.2
236,clarity::builtin,to-consensus-buff?,0.44,0.42,386,89,0.6,91,0.3
1088,clarity::user::private,iter-find,150.94,0.41,205,36,0.2,37,0.1
1062,clarity::user::private,receive-underlying,124.22,0.41,61,56,0.4,57,0.2
